SRR/ENA_Accession,Sample_Year,Geo_Country,TPA_Lineage
SRR3268682,2013,Argentina,SS14
SRR3268722,2013,Austria,SS14
SRR3268723,2013,Austria,SS14
SRR3268715,1973,USA,Nichols
SRR3268726,1973,USA,Nichols
SRR3268685,2012,Czech Republic,SS14
SRR3268707,2013,Netherlands,SS14
SRR3268710,2013,Netherlands,Nichols
SRR3268730,2012,Switzerland,SS14
SRR3268732,2012,Switzerland,SS14
SRR3268736,2012,Switzerland,SS14
SRR3268758,2004,USA,SS14
ERR2756161,1951,USA,Nichols
ERR2756162,1912,USA,Nichols
ERR2756160,1912,USA,Nichols
ERR2756163,1912,USA,Nichols
ERR2710610,2016,UK,SS14
ERR2710611,2016,UK,SS14
ERR2710612,2016,UK,SS14
ERR2710614,2016,UK,SS14
ERR2710615,2016,UK,Nichols
ERR2710617,2016,UK,SS14
ERR2710618,2016,UK,Nichols
ERR2710619,2016,UK,Nichols
ERR2756164,1980,USA,Nichols
ERR2756195,2004,USA,SS14
ERR2756214,2001,USA,SS14
ERR2756175,2001,USA,SS14
ERR2756194,2002,USA,SS14
ERR2756229,2002,USA,SS14
ERR2756171,2002,USA,SS14
ERR2756198,2002,USA,SS14
ERR2756207,2002,USA,SS14
ERR2756188,2002,USA,SS14
ERR2756219,2002,USA,SS14
ERR2756201,2002,USA,SS14
ERR2756185,2002,USA,SS14
ERR2756200,2003,USA,SS14
ERR2756203,2003,USA,SS14
ERR2756227,2003,USA,SS14
ERR2756221,2003,USA,SS14
ERR2756202,2003,USA,SS14
ERR2756186,2003,USA,SS14
ERR2756192,2003,USA,SS14
ERR2756187,2004,USA,Nichols
ERR2756223,2003,USA,SS14
ERR2756212,2003,USA,SS14
ERR2756205,2003,USA,SS14
ERR2756213,2004,USA,SS14
ERR2756193,2004,USA,SS14
ERR2756210,2004,USA,SS14
ERR2756217,2004,USA,SS14
ERR2756178,2004,USA,SS14
ERR2756190,2004,USA,SS14
ERR2756182,2004,USA,SS14
ERR2756218,2004,USA,SS14
ERR2756172,2004,USA,SS14
ERR2756226,2004,USA,SS14
ERR2756197,2004,USA,Nichols
ERR2756222,2004,USA,SS14
ERR2756211,2004,USA,SS14
ERR2756176,2004,USA,SS14
ERR2756168,2004,USA,SS14
ERR2756228,2005,USA,SS14
ERR2756224,2005,USA,SS14
ERR2756225,2005,USA,SS14
ERR2756199,2005,USA,SS14
ERR2756173,2005,USA,SS14
ERR2756189,2005,USA,SS14
ERR2756196,2005,USA,SS14
ERR2756169,2005,USA,SS14
ERR2756177,2005,USA,SS14
ERR2756206,2005,USA,SS14
ERR2756208,2005,USA,SS14
ERR2756174,2005,USA,SS14
ERR2756181,2006,USA,SS14
ERR2756191,2006,USA,SS14
ERR2756184,2006,USA,SS14
ERR2756216,2006,USA,SS14
ERR2756220,2007,USA,SS14
ERR2756179,2011,USA,SS14
ERR2756170,2011,USA,SS14
ERR2756204,2011,USA,SS14
SRR10041775,2018,China,SS14
SRR10041774,2017,China,SS14
SRR10041772,2018,China,SS14
SRR10041769,2018,China,Nichols
SRR10041768,2018,China,SS14
SRR10041767,2018,China,SS14
SRR8501163,2014,Czech Republic,SS14
SRR8501162,2013,Cuba,SS14
SRR8501165,2012,France,Nichols
SRR8501164,2014,Australia,Nichols
SRR8501167,2016,Cuba,Nichols
SRR8501166,2015,Cuba,Nichols
SRR8501169,2015,France,SS14
SRR8501168,2016,France,SS14
SRR8501171,2013,France,Nichols
SRR8501170,2016,France,SS14
SRR8501161,2017,Czech Republic,SS14
