Sample,SUBID,Bioproject,Biosample,Accession
China11,SUB9509524,PRJNA723099,SAMN18804889,CP073574.1
China23,SUB9509524,PRJNA723099,SAMN18804890,CP073573.1
China30,SUB9509524,PRJNA723099,SAMN18804891,CP073572.1
China31,SUB9509524,PRJNA723099,SAMN18804892,CP073571.1
China42,SUB9509524,PRJNA723099,SAMN18804893,CP073570.1
China44,SUB9509524,PRJNA723099,SAMN18804894,CP073569.1
China47,SUB9509524,PRJNA723099,SAMN18804895,CP073568.1
China48,SUB9509524,PRJNA723099,SAMN18804896,CP073567.1
Dublin21Be,SUB9509524,PRJNA723099,SAMN18804897,CP073566.1
Dublin24B ,SUB9509524,PRJNA723099,SAMN18804898,CP073565.1
Dublin37B ,SUB9509524,PRJNA723099,SAMN18804899,CP073564.1
Dublin41B ,SUB9509524,PRJNA723099,SAMN18804900,CP073563.1
Dublin46B ,SUB9509524,PRJNA723099,SAMN18804901,CP073562.1
Dublin50B ,SUB9509524,PRJNA723099,SAMN18804902,CP073561.1
Dublin52B ,SUB9509524,PRJNA723099,SAMN18804903,CP073560.1
Dublin54B ,SUB9509524,PRJNA723099,SAMN18804904,CP073559.1
Dublin55B ,SUB9509524,PRJNA723099,SAMN18804905,CP073558.1
Dublin57B ,SUB9509524,PRJNA723099,SAMN18804906,CP073557.1
Dublin58B ,SUB9509524,PRJNA723099,SAMN18804907,CP073556.1
Italy17LGMi,SUB9509524,PRJNA723099,SAMN18804908,CP073576.1
Italy7,SUB9509524,PRJNA723099,SAMN18804909,CP073555.1
Italy8PLe ,SUB9509524,PRJNA723099,SAMN18804910,CP073554.1
ItalyAS14 ,SUB9509524,PRJNA723099,SAMN18804911,CP073553.1
ItalyAS15 ,SUB9509524,PRJNA723099,SAMN18804912,CP073552.1
ItalyAS23 ,SUB9509524,PRJNA723099,SAMN18804913,CP073551.1
ItalyGE4b ,SUB9509524,PRJNA723099,SAMN18804914,CP073550.1
ItalyGE5a ,SUB9509524,PRJNA723099,SAMN18804915,CP073549.1
ItalyGE5b ,SUB9509524,PRJNA723099,SAMN18804916,CP073548.1
ItalyGE6,SUB9509524,PRJNA723099,SAMN18804917,CP073547.1
Japan287e ,SUB9509524,PRJNA723099,SAMN18804918,CP073546.1
Japan288,SUB9509524,PRJNA723099,SAMN18804919,CP073545.1
Japan290,SUB9509524,PRJNA723099,SAMN18804920,CP073544.1
Japan291x ,SUB9509524,PRJNA723099,SAMN18804921,CP073543.1
Japan294x ,SUB9509524,PRJNA723099,SAMN18804922,CP073542.1
Japan295x ,SUB9509524,PRJNA723099,SAMN18804923,CP073541.1
