GCA_001628695.1	2011-06-23
GCA_001655235.1	2013-12
GCA_001655275.1	2013-12
GCA_001655315.1	2013-02
GCA_001655355.1	2013-12
GCA_001655395.1	2004-07-01
GCA_001655435.1	2004-01-14
GCA_001655475.1	2004-04-16
GCA_001655515.1	2004-07-15
GCA_001655555.1	2005-12-21
GCA_001712895.1	2009
GCA_001712915.1	2010
GCA_001712935.1	2010
GCA_001712955.1	2010
GCA_001712975.1	2011
GCA_001712995.1	2011
GCA_001713015.1	2012
GCA_001713035.1	2013
GCA_001713055.1	2013
GCA_001713075.1	2013
GCA_001713095.1	2013
GCA_001713115.1	2013
GCA_001713135.1	2013
GCA_001713155.1	2013
GCA_001713175.1	2013
GCA_001713195.1	2013
GCA_001713215.1	2014
GCA_001713235.1	2014
GCA_001713255.1	2014
GCA_001713275.1	2014
GCA_001713295.1	2014
GCA_001713315.1	2014
GCA_001713335.1	2014
GCA_001761515.1	2009
GCA_001761565.1	2010
GCA_001941545.1	2013-02
GCA_002271195.1	1988
GCA_002271235.1	1980
GCA_003055985.1	2014-12-20
GCA_003076575.1	2007-04-16
GCA_003611295.1	1990-01-05
GCA_003611315.1	1990-05-14
GCA_003627115.1	1951
GCA_003952805.1	1980-11
GCA_004194495.1	1951
GCA_005311045.1	2017
GCA_005311065.1	2013
GCA_005311085.1	2015
GCA_005311105.1	2016
GCA_005311125.1	2014
GCA_005311145.1	2013
GCA_005311165.1	2014
GCA_005311185.1	2016
GCA_005311205.1	2015
GCA_005311445.1	2012
GCA_005341485.1	2016
GCA_005408385.1	1988
GCA_005408405.1	1980
GCA_005885795.1	2017-05-22
GCA_009017435.1	2003
GCA_009017475.1	2009
GCA_015239315.1	2018
GCA_015239335.1	2017
GCA_015239355.1	2018
GCA_015239375.1	2018
GCA_015239395.1	2018
GCA_015239415.1	2018
GCA_018199035.3	2017
GCA_018199075.2	2017
GCA_018199115.2	2017
GCA_018199255.2	2017
GCA_018199335.2	2017
GCA_018199375.2	2002
GCA_018199415.2	2017
GCA_018199435.2	2002
GCA_018199455.2	2002
GCA_018199475.2	2002
GCA_018199495.2	2002
GCA_018199515.2	2002
GCA_018199535.2	2002
GCA_018199555.2	2002
GCA_018199575.2	2002
GCA_018199595.2	2002
GCA_018199615.2	2002
GCA_018199635.2	2018
GCA_018199735.2	2018
GCA_018199835.2	2018
GCA_018199875.2	2018
GCA_018199895.2	2018
GCA_018199915.2	2018
GCA_018199935.2	2018
GCA_018200055.3	2001
GCA_018200075.2	2006
GCA_018200095.2	2006
GCA_018200115.2	2006
GCA_018200135.2	2001
GCA_018200155.2	2001
GCA_018200175.2	2001
GCA_018200195.2	2001
GCA_018200355.2	2006
GCA_018200375.2	2001
GCA_018200445.2	2001
GCA_018200535.2	2006
GCA_018200635.2	2001
GCA_018200675.2	2020
GCA_018200795.2	2001
GCA_018200875.2	2001
GCA_018200935.2	2001
GCA_018200975.2	2007
