ProteinID	Name	Organism
WP_010881569	MULTISPECIES: methionine ABC transporter ATP-binding protein [Treponema]	Treponema
WP_014342542	ATP-grasp domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881925	MULTISPECIES: acetate kinase [Treponema]	Treponema
WP_010882253	acyl carrier protein [Treponema pallidum]	Treponema pallidum
WP_010882272	holo-ACP synthase [Treponema pallidum]	Treponema pallidum
WP_010882409	efflux RND transporter periplasmic adaptor subunit [Treponema pallidum]	Treponema pallidum
WP_010881589	methylated-DNA--[protein]-cysteine S-methyltransferase [Treponema pallidum]	Treponema pallidum
WP_010881494	adenosine deaminase [Treponema pallidum]	Treponema pallidum
WP_014342501	DUF2147 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881958	MULTISPECIES: redoxin domain-containing protein [Treponema]	Treponema
WP_010882461	alanine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_013945354	MULTISPECIES: PTS sugar transporter subunit IIA [Treponema]	Treponema
WP_012460586	alanine racemase [Treponema pallidum]	Treponema pallidum
WP_235214099	alanine/glycine:cation symporter family protein [Treponema pallidum]	Treponema pallidum
WP_014505437	N-acetylmuramoyl-L-alanine amidase [Treponema pallidum]	Treponema pallidum
WP_010881951	ankyrin repeat domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342584	FAD:protein FMN transferase [Treponema pallidum]	Treponema pallidum
WP_013945592	MULTISPECIES: adenine phosphoribosyltransferase [Treponema]	Treponema
WP_013945414	arginine--tRNA ligase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342483	aspartate--ammonia ligase [Treponema pallidum]	Treponema pallidum
WP_010882055	MULTISPECIES: asparagine--tRNA ligase [Treponema]	Treponema
WP_014342329	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [Treponema pallidum]	Treponema pallidum
WP_010882429	aspartate--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010881968	MULTISPECIES: sigma-54-dependent transcriptional regulator [Treponema]	Treponema
WP_010881874	V-type ATP synthase subunit A [Treponema pallidum]	Treponema pallidum
WP_012460566	V-type ATP synthase subunit A [Treponema pallidum]	Treponema pallidum
WP_010881875	V-type ATP synthase subunit B [Treponema pallidum]	Treponema pallidum
WP_010881976	MULTISPECIES: V-type ATP synthase subunit B [Treponema]	Treponema
WP_010881876	MULTISPECIES: V-type ATP synthase subunit D [Treponema]	Treponema
WP_010881975	V-type ATP synthase subunit D [Treponema pallidum]	Treponema pallidum
WP_237260088	V-type ATP synthase subunit I [Treponema pallidum]	Treponema pallidum
WP_014342371	outer membrane protein assembly factor BamA [Treponema pallidum]	Treponema pallidum
WP_014342398	outer membrane protein assembly factor BamD [Treponema pallidum]	Treponema pallidum
WP_010882358	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_013944811	MULTISPECIES: BCCT family transporter [Treponema]	Treponema
WP_193386055	biotin transporter BioY [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_013945018	MULTISPECIES: biotin--[acetyl-CoA-carboxylase] ligase [Treponema]	Treponema
WP_014342347	branched-chain amino acid transport system II carrier protein [Treponema pallidum]	Treponema pallidum
WP_014342605	MFS transporter [Treponema pallidum]	Treponema pallidum
WP_010881960	CarD family transcriptional regulator [Treponema pallidum]	Treponema pallidum
