abcC	WP_010881569.1	97.770	269	6	0	1	807	1	269	3.02e-169	476	157
accC	WP_014342542.1	96.315	597	22	0	1	1791	1	597	0.0	927	160
ackA	WP_010881925.1	96.652	448	15	0	1	1344	1	448	0.0	895	157
acpP	WP_010882253.1	87.179	78	10	0	1	234	1	78	3.78e-29	107	160
acpS	WP_010882272.1	96.429	112	4	0	40	375	14	125	3.91e-73	222	160
acrA	WP_010882409.1	95.625	320	14	0	1	960	1	320	0.0	560	160
adaB	WP_010881589.1	97.576	165	4	0	37	531	13	177	2.12e-109	317	160
add	WP_010881494.1	89.298	299	32	0	1	897	1	299	0.0	546	160
adk	WP_014342501.1	99.078	217	2	0	670	1320	3	219	1.33e-156	449	160
ahpC	WP_010881958.1	100.000	187	0	0	1	561	1	187	3.00e-135	385	157
alaS	WP_010882461.1	96.860	605	19	0	115	1929	1	605	0.0	1147	160
alpA	WP_013945354.1	97.248	218	6	0	34	687	1	218	2.35e-153	432	157
alr	WP_012460586.1	96.286	377	14	0	1	1131	1	377	0.0	669	160
alsT	WP_235214099.1	94.570	442	24	0	73	1398	25	466	0.0	645	160
amiC	WP_014505437.1	100.000	334	0	0	1	1002	1	334	0.0	688	160
aNKYR	WP_010881951.1	97.651	298	7	0	1	894	1	298	0.0	561	160
apbE	WP_014342584.1	97.904	334	7	0	1	1002	29	362	0.0	625	160
apt	WP_013945592.1	87.368	190	24	0	1	570	1	190	5.20e-92	275	157
argS	WP_013945414.1	97.453	589	15	0	1	1767	1	589	0.0	1202	53435
asnA	WP_014342483.1	99.701	334	1	0	1	1002	1	334	0.0	679	160
asnS	WP_010882055.1	92.925	523	37	0	217	1785	1	523	0.0	964	157
aspB	WP_014342329.1	96.660	479	16	0	1	1437	1	479	0.0	895	160
aspS	WP_010882429.1	97.884	567	12	0	1	1701	36	602	0.0	1140	160
atoC	WP_010881968.1	100.000	458	0	0	421	1794	1	458	0.0	910	157
atpA1	WP_010881874.1	96.944	589	18	0	1	1767	1	589	0.0	1162	160
atpA2	WP_012460566.1	99.835	605	1	0	31	1845	1	605	0.0	1205	160
atpB1	WP_010881875.1	96.977	430	13	0	1	1290	1	430	0.0	851	160
atpB2	WP_010881976.1	99.167	480	4	0	1	1440	1	480	0.0	971	157
atpD1	WP_010881876.1	94.660	206	11	0	1	618	1	206	1.70e-137	391	157
atpD2	WP_010881975.1	92.823	209	15	0	1	627	1	209	5.87e-112	327	160
atpI1	WP_237260088.1	99.673	611	2	0	13	1845	1	611	0.0	1109	160
bamA	WP_014342371.1	96.879	833	20	2	49	2544	6	833	0.0	1627	160
bamD	WP_014342398.1	94.574	516	28	0	1	1548	1	516	0.0	761	160
bepA	WP_010882358.1	96.396	444	16	0	1	1332	1	444	0.0	869	160
betT	WP_013944811.1	86.667	510	68	0	1	1530	1	510	0.0	778	157
bioY	WP_193386055.1	97.917	192	4	0	1	576	80	271	3.39e-96	288	53435
birA2	WP_013945018.1	97.717	219	5	0	1	657	1	219	1.80e-151	427	157
brnQ	WP_014342347.1	97.582	455	11	0	1	1365	1	455	0.0	717	160
btlA	WP_014342605.1	99.866	746	1	0	1	2238	1	746	0.0	1408	160
carD~~~cdnL	WP_010881960.1	87.709	179	22	0	1	537	30	208	2.60e-95	283	160
cbiQ	WP_013944908.1	94.737	228	12	0	1	684	1	228	4.64e-143	407	53435
cbpA	WP_014505625.1	99.608	255	1	0	31	795	1	255	0.0	514	160
ccdA	WP_013944807.1	93.939	264	16	0	1	792	1	264	7.06e-133	384	157
