Sample	ST	TP0136	TP0548	TP0705	mismatches	uncertainty	depth	maxMAF
ERR4899227	1	1	3	1	TP0136_1/trun	-	45.1013333333	0.106382978723
ERR4853527	101	1	79	1	TP0136_1/trun	-	46.8236666667	0.106382978723
ERR7123582	NF*	-	-	10*	TP0705_10/8snp	-	43.887	0
ERR4899226	NF*?	35	47*?	1	TP0136_35/trun;TP0548_47/85holes	TP0548_47/edge0.0	39.6223333333	0.16
ERR4853528	3	1	1	8	TP0136_1/trun	-	46.2143333333	0.106382978723
ERR4853529	1	1	3	1	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR4853643	24	6	1	8	0	-	45.263	0
ERR4899224	28	1	17	9	TP0136_1/trun	-	46.1543333333	0.106382978723
ERR4853645	13	6	3	1	0	-	42.8456666667	0.266666666667
ERR5207007	NF	1	73	3	TP0136_1/trun	-	46.142	0.0869565217391
ERR5210579	NF*	35*	3*	1	TP0136_35/1snp;TP0548_3/1snp	-	45.9276666667	0.166666666667
ERR7123581	NF*	-	-	10*	TP0705_10/8snp	-	44.095	0
ERR4853547	1	1	3	1	TP0136_1/trun	-	46.0896666667	0.0869565217391
ERR4993358	2	1	1	1	TP0136_1/trun	-	46.214	0.106382978723
ERR4853556	1	1	3	1	TP0136_1/trun	-	46.142	0.0869565217391
ERR4853555	1	1	3	1	TP0136_1/trun	-	46.1986666667	0.0909090909091
ERR4853554	13*	6	3*	1	TP0548_3/1snp	-	45.2086666667	0
ERR3684509	1	1	3	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR4853551	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4853550	NF	35	1	1	0	-	42.1256666667	0.285714285714
ERR5207032	1	1	3	1	TP0136_1/trun	-	46.1986666667	0.0909090909091
ERR3684504	1	1	3	1	TP0136_1/trun	-	46.1536666667	0.106382978723
ERR3684507	1	1	3	1	TP0136_1/trun	-	46.1466666667	0.0909090909091
