Bin.Id	Marker lineage	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR5210584	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5210582	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5210581	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.40	0.00	
ERR5210578	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5210572	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5210569	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5210568	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207031	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207029	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207020	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207019	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207017	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207011	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207009	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207008	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR5207007	f__Spirochaetaceae	56	235	124	0	230	5	0	0	0	100.00	0.59	0.00	
ERR4993362	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993361	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993359	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993358	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993356	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993355	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993353	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993352	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993351	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4993349	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4899243	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4899230	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4899224	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.27	0.00	
ERR4899216	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4899204	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4899203	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4899202	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.05	0.00	
ERR4899200	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4899198	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853684	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853676	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853674	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853672	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853667	f__Spirochaetaceae	56	235	124	0	233	2	0	0	0	100.00	0.45	0.00	
ERR4853653	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853645	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853631	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853625	f__Spirochaetaceae	56	235	124	0	232	2	1	0	0	100.00	0.55	0.00	
ERR4853620	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853615	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853614	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853611	f__Spirochaetaceae	56	235	124	0	226	8	1	0	0	100.00	1.24	9.09	
ERR4853610	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853605	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853604	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853602	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853601	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.05	0.00	
ERR4853598	f__Spirochaetaceae	56	235	124	0	231	4	0	0	0	100.00	0.21	0.00	
ERR4853597	f__Spirochaetaceae	56	235	124	0	232	2	1	0	0	100.00	0.26	0.00	
ERR4853593	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853592	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853589	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853588	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853587	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853586	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853585	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853584	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.03	0.00	
ERR4853582	f__Spirochaetaceae	56	235	124	0	230	4	1	0	0	100.00	1.36	14.29	
ERR4853580	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853579	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853577	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.03	0.00	
ERR4853573	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853572	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853571	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853569	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853568	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853565	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853562	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853561	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853560	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.40	0.00	
ERR4853556	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853554	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853553	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853547	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853545	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853544	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853543	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853541	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853535	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853534	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853533	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853532	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853529	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4853528	f__Spirochaetaceae	56	235	124	0	233	2	0	0	0	100.00	0.05	0.00	
ERR4853527	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR4045380	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.03	0.00	
ERR3684725	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684647	f__Spirochaetaceae	56	235	124	0	231	4	0	0	0	100.00	2.47	0.00	
ERR3684620	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684619	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684618	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684582	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684577	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684576	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684575	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684574	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684573	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684569	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684564	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684560	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684558	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684556	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
