Gene,Nichols,Nichols - Madagascar,SS14,TEN,TPE,Accession,Name,Organism
pepP,189,37,279,8,31,WP_014342490,aminopeptidase P family protein [Treponema pallidum],Treponema pallidum
group_326,189,37,279,8,31,WP_172841380,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
ugpC,189,37,279,8,31,WP_012460593,ABC transporter ATP-binding protein [Treponema pallidum],Treponema pallidum
greA,189,37,279,8,31,WP_013944737,transcription elongation factor GreA [Treponema paraluiscuniculi],Treponema paraluiscuniculi
cvpA,189,37,279,8,31,WP_010881970,CvpA family protein [Treponema pallidum],Treponema pallidum
group_324,189,37,279,8,31,WP_010881470,hypothetical protein [Treponema pallidum],Treponema pallidum
group_323,189,37,279,8,31,WP_014342396,chromosome segregation SMC family protein [Treponema pallidum],Treponema pallidum
group_322,189,37,279,8,31,WP_144011660,DUF2715 domain-containing protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_321,189,37,279,8,31,WP_010882436,MULTISPECIES: hypothetical protein [Treponema],Treponema
ygcG,189,37,279,8,31,WP_235214003,TPM domain-containing protein [Treponema pallidum],Treponema pallidum
rplO,189,37,279,8,31,WP_010881655,50S ribosomal protein L15 [Treponema pallidum],Treponema pallidum
phnP,189,37,279,8,31,WP_010881938,MBL fold metallo-hydrolase [Treponema pallidum],Treponema pallidum
grpE,189,37,279,8,31,WP_010881663,nucleotide exchange factor GrpE [Treponema pallidum],Treponema pallidum
pfkA,189,37,279,8,31,WP_010881557,ATP-dependent 6-phosphofructokinase [Treponema pallidum],Treponema pallidum
yabN,189,37,279,8,31,WP_235214027,nucleoside triphosphate pyrophosphohydrolase [Treponema pallidum],Treponema pallidum
xkdP,189,37,279,8,31,WP_010881491,LysM peptidoglycan-binding domain-containing protein [Treponema pallidum],Treponema pallidum
group_318,189,37,279,8,31,WP_014342352,16S rRNA (uracil(1498)-N(3))-methyltransferase [Treponema pallidum],Treponema pallidum
rimM,189,37,279,8,31,WP_010882350,ribosome maturation factor RimM [Treponema pallidum],Treponema pallidum
rpsP,189,37,279,8,31,WP_024751815,30S ribosomal protein S16 [Treponema phagedenis],Treponema phagedenis
group_317,189,37,279,8,31,WP_010882010,J domain-containing protein [Treponema pallidum],Treponema pallidum
group_316,189,37,279,8,31,WP_010881521,MULTISPECIES: glutaredoxin domain-containing protein [Treponema],Treponema
rplU,189,37,279,8,31,WP_010882190,50S ribosomal protein L21 [Treponema pallidum],Treponema pallidum
groL,189,37,279,8,31,WP_010881479,chaperonin GroEL [Treponema pallidum],Treponema pallidum
yaiI,189,37,279,8,31,WP_014342608,YaiI/YqxD family protein [Treponema pallidum],Treponema pallidum
group_312,189,37,279,8,31,WP_013945170,MULTISPECIES: ATP synthase subunit C [Treponema],Treponema
group_311,189,37,279,8,31,WP_010881978,ATPase [Treponema pallidum],Treponema pallidum
group_309,189,37,279,8,31,WP_010881902,TP0453 family outer membrane protein [Treponema pallidum],Treponema pallidum
group_308,189,37,279,8,31,WP_010881903,response regulator [Treponema pallidum],Treponema pallidum
zapB,189,37,279,8,31,WP_014342609,cell division protein ZapB [Treponema pallidum],Treponema pallidum
group_305,189,37,279,8,31,WP_014342606,Do family serine endopeptidase [Treponema pallidum],Treponema pallidum
rlmN,189,37,279,8,31,WP_010881517,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN [Treponema pallidum],Treponema pallidum
group_304,189,37,279,8,31,WP_010881537,hypothetical protein [Treponema pallidum],Treponema pallidum
rpoB,189,37,279,8,31,WP_014342336,DNA-directed RNA polymerase subunit beta [Treponema pallidum],Treponema pallidum
ppiB,189,37,279,8,31,WP_039487460,peptidylprolyl isomerase [Treponema pallidum],Treponema pallidum
group_303,189,37,279,8,31,WP_010881586,hypothetical protein [Treponema pallidum],Treponema pallidum
gatA,189,37,279,8,31,WP_014342695,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA [Treponema pallidum],Treponema pallidum
rny,189,37,279,8,31,WP_010882462,ribonuclease Y [Treponema pallidum],Treponema pallidum
group_302,189,37,279,8,31,WP_014342603,hypothetical protein [Treponema pallidum],Treponema pallidum
pncB,189,37,279,8,31,WP_010882074,nicotinate phosphoribosyltransferase [Treponema pallidum],Treponema pallidum
fliE,189,37,279,8,31,WP_010881846,flagellar hook-basal body complex protein FliE [Treponema pallidum],Treponema pallidum
fliQ,189,37,279,8,31,WP_010882161,flagellar biosynthetic protein FliR [Treponema pallidum],Treponema pallidum
rpsG,189,37,279,8,31,WP_010881692,30S ribosomal protein S7 [Treponema pallidum],Treponema pallidum
group_301,189,37,279,8,31,WP_010882384,MULTISPECIES: hypothetical protein [Treponema],Treponema
sORL,189,37,279,8,31,WP_010882267,MULTISPECIES: superoxide reductase domain-containing protein [Treponema],Treponema
rpmI,189,37,279,8,31,WP_014342610,50S ribosomal protein L35 [Treponema pallidum],Treponema pallidum
group_298,189,37,279,8,31,WP_010881497,MULTISPECIES: bactofilin family protein [Treponema],Treponema
rpsF,189,37,279,8,31,WP_010881512,MULTISPECIES: 30S ribosomal protein S6 [Treponema],Treponema
group_297,189,37,279,8,31,WP_237249931,pentapeptide repeat-containing protein [Treponema pallidum],Treponema pallidum
group_296,189,37,279,8,31,WP_010881513,MULTISPECIES: hypothetical protein [Treponema],Treponema
group_295,189,37,279,8,31,WP_014342545,DUF2715 domain-containing protein [Treponema pallidum],Treponema pallidum
group_294,189,37,279,8,31,WP_010881595,MULTISPECIES: hypothetical protein [Treponema],Treponema
rpsR,189,37,279,8,31,WP_010881510,30S ribosomal protein S18 [Treponema pallidum],Treponema pallidum
rpsI,189,37,279,8,31,WP_010882468,MULTISPECIES: 30S ribosomal protein S9 [Treponema],Treponema
glpG,189,37,279,8,31,WP_010882426,MULTISPECIES: rhomboid family intramembrane serine protease [Treponema],Treponema
rplC,189,37,279,8,31,WP_013944879,50S ribosomal protein L3 [Treponema paraluiscuniculi],Treponema paraluiscuniculi
marC,189,37,279,8,31,WP_014342681,MarC family protein [Treponema pallidum],Treponema pallidum
acrA,189,37,279,8,31,WP_010882409,efflux RND transporter periplasmic adaptor subunit [Treponema pallidum],Treponema pallidum
zntA,189,37,279,8,31,WP_014342704,heavy metal translocating P-type ATPase [Treponema pallidum],Treponema pallidum
rplS,189,37,279,8,31,WP_010882352,MULTISPECIES: 50S ribosomal protein L19 [Treponema],Treponema
acpP,189,37,279,8,31,WP_010882253,acyl carrier protein [Treponema pallidum],Treponema pallidum
group_293,189,37,279,8,31,WP_014342571,Na/Pi cotransporter family protein [Treponema pallidum],Treponema pallidum
flgJ1,189,37,279,8,31,WP_013945521,rod-binding protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_292,189,37,279,8,31,WP_010881668,STAS domain-containing protein [Treponema pallidum],Treponema pallidum
gpmA,189,37,279,8,31,WP_010881615,MULTISPECIES: 2,3-diphosphoglycerate-dependent phosphoglycerate mutase [Treponema],Treponema
group_288,189,37,279,8,31,WP_235214031,hypothetical protein [Treponema pallidum],Treponema pallidum
aspS,189,37,279,8,31,WP_010882429,aspartate--tRNA ligase [Treponema pallidum],Treponema pallidum
group_287,189,37,279,8,31,WP_172841369,hypothetical protein [Treponema pallidum],Treponema pallidum
cdaA,189,37,279,8,31,WP_010882268,1-deoxy-D-xylulose-5-phosphate synthase [Treponema pallidum],Treponema pallidum
mtaB,189,37,279,8,31,WP_014342349,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB [Treponema pallidum],Treponema pallidum
group_283,189,37,279,8,31,WP_013944778,tetratricopeptide repeat protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
ptsN,189,37,279,8,31,WP_010881534,PTS sugar transporter subunit IIA [Treponema pallidum],Treponema pallidum
rplA,189,37,279,8,31,WP_013944916,50S ribosomal protein L1 [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_279,189,37,279,8,31,WP_014342229,DUF3798 domain-containing protein [Treponema pallidum],Treponema pallidum
