Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR3684450	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684451	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684452	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684453	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684454	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684455	f__Spirochaetaceae (UID2512)	56	235	124	4	227	4	0	0	0	98.50	2.00	25.00
ERR3684456	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684457	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684458	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684459	f__Spirochaetaceae (UID2512)	56	235	124	2	231	2	0	0	0	98.39	1.61	0.00
ERR3684460	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684461	f__Spirochaetaceae (UID2512)	56	235	124	8	220	7	0	0	0	95.14	2.50	28.57
ERR3684462	f__Spirochaetaceae (UID2512)	56	235	124	4	223	8	0	0	0	98.09	3.97	25.00
ERR3684463	f__Spirochaetaceae (UID2512)	56	235	124	9	216	10	0	0	0	94.82	4.71	30.00
ERR3684464	f__Spirochaetaceae (UID2512)	56	235	124	7	221	7	0	0	0	95.67	2.21	28.57
ERR3684465	f__Spirochaetaceae (UID2512)	56	235	124	4	223	8	0	0	0	98.50	4.24	50.00
ERR3684466	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.19	0.81	0.00
ERR3684467	f__Spirochaetaceae (UID2512)	56	235	124	3	231	1	0	0	0	98.76	0.81	0.00
ERR3684468	f__Spirochaetaceae (UID2512)	56	235	124	15	210	10	0	0	0	91.75	2.91	20.00
ERR3684469	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.16	0.00
ERR3684470	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684471	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684472	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684473	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684474	f__Spirochaetaceae (UID2512)	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00
ERR3684475	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00
ERR3684476	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684477	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684478	f__Spirochaetaceae (UID2512)	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00
ERR3684479	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684480	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684481	f__Spirochaetaceae (UID2512)	56	235	124	20	207	8	0	0	0	88.76	2.66	25.00
ERR3684482	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.05	0.00
ERR3684483	f__Spirochaetaceae (UID2512)	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00
ERR3684484	f__Spirochaetaceae (UID2512)	56	235	124	8	224	3	0	0	0	94.62	0.90	0.00
ERR3684485	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684486	f__Spirochaetaceae (UID2512)	56	235	124	2	230	3	0	0	0	99.17	2.02	0.00
ERR3684487	f__Spirochaetaceae (UID2512)	56	235	124	4	227	4	0	0	0	97.98	1.89	25.00
ERR3684488	f__Spirochaetaceae (UID2512)	56	235	124	11	216	8	0	0	0	94.17	2.16	62.50
ERR3684489	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684490	f__Spirochaetaceae (UID2512)	56	235	124	0	232	3	0	0	0	100.00	1.34	33.33
ERR3684491	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684492	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.19	0.12	100.00
ERR3684493	f__Spirochaetaceae (UID2512)	56	235	124	3	230	2	0	0	0	98.36	0.97	0.00
ERR3684494	f__Spirochaetaceae (UID2512)	56	235	124	4	227	4	0	0	0	97.18	2.02	25.00
ERR3684495	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684496	f__Spirochaetaceae (UID2512)	56	235	124	8	216	11	0	0	0	95.65	4.27	0.00
ERR3684497	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684498	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684499	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684500	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684501	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684502	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684503	f__Spirochaetaceae (UID2512)	56	235	124	43	180	12	0	0	0	79.29	3.55	16.67
ERR3684504	f__Spirochaetaceae (UID2512)	56	235	124	0	233	2	0	0	0	100.00	1.61	0.00
ERR3684505	f__Spirochaetaceae (UID2512)	56	235	124	14	210	11	0	0	0	91.50	3.84	27.27
ERR3684506	f__Spirochaetaceae (UID2512)	56	235	124	25	195	15	0	0	0	86.88	6.98	20.00
ERR3684507	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684508	f__Spirochaetaceae (UID2512)	56	235	124	27	197	11	0	0	0	89.27	4.11	9.09
ERR3684509	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684510	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684511	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684512	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684513	f__Spirochaetaceae (UID2512)	56	235	124	88	135	11	1	0	0	57.39	4.92	7.14
ERR3684514	f__Spirochaetaceae (UID2512)	56	235	124	135	98	2	0	0	0	39.49	0.83	0.00
ERR3684515	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684516	f__Spirochaetaceae (UID2512)	56	235	124	6	218	11	0	0	0	96.48	2.65	27.27
ERR3684517	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684518	f__Spirochaetaceae (UID2512)	56	235	124	82	142	11	0	0	0	58.88	2.40	9.09
ERR3684519	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684520	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684521	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684522	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684523	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684524	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684525	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684526	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684527	f__Spirochaetaceae (UID2512)	56	235	124	20	202	13	0	0	0	88.65	2.56	30.77
ERR3684528	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684529	f__Spirochaetaceae (UID2512)	56	235	124	20	206	9	0	0	0	89.77	4.28	33.33
ERR3684530	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
