Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
ERR3684450	66	14	7	7	6	4	1151261	1127357	1115980	1115980	1099813	1011778	31	598810	1139513	1139457	52.73	52.78	598810	598810	44634	44634	376046.3	376064.8	1	1	5	5	0	0	0	0	0	0	0	16 + 0 part	12769	98.850	1.001	0.00	13.05	12.34	598735	1126665	598735	598735	44634	44634	375957.3	375975.8	1	1	5	5
ERR3684451	48	14	8	8	7	4	1140196	1125829	1115459	1115459	1099293	975188	27	598767	1135586	1139457	52.75	52.78	598767	598767	43401	43401	366165.9	364922.0	1	1	6	6	0	0	0	1	0	0	0	9 + 1 part	8335	98.891	1.001	0.00	6.12	11.98	598481	1126961	598481	598481	43401	43401	365856.9	364614.0	1	1	6	6
ERR3684452	41	14	9	9	8	5	1136332	1124424	1112896	1112896	1100652	976483	22	303802	1130868	1139457	52.75	52.78	299610	299610	44596	43401	211148.2	209556.6	2	2	6	7	1	1	303802	1	0	0	0	4 + 0 part	3752	98.828	1.001	0.00	35.07	14.03	299538	1126284	299230	299230	43401	43401	208670.5	207097.5	2	2	7	7
ERR3684453	34	11	8	8	7	4	1131101	1121726	1112888	1112888	1096159	971962	17	598894	1126819	1139457	52.75	52.78	598894	598894	44596	43401	368754.3	364664.3	1	1	5	6	0	0	0	1	0	0	0	0 + 0 part	0	98.799	1.001	0.00	36.85	13.85	598810	1126122	598810	598810	44596	43401	368638.7	364550.0	1	1	5	6
ERR3684454	47	14	9	9	8	5	1136972	1122954	1111857	1111857	1095742	971727	24	299511	1130386	1139457	52.75	52.78	299147	299147	43401	43401	208787.7	207125.5	2	2	7	7	0	0	0	1	0	0	0	5 + 0 part	3645	98.821	1.001	0.00	28.59	13.85	299216	1126337	299147	299147	43401	43401	208617.4	206956.7	2	2	7	7
ERR3684455	319	229	75	24	1	0	1135161	1097126	696686	355791	27209	0	262	27209	1122645	1139457	52.73	52.78	6388	6211	2119	1944	8426.7	8302.3	51	52	172	180	0	0	0	1	0	0	0	0 + 0 part	0	98.100	1.004	0.00	34.85	13.37	27209	1121884	6388	6211	2108	1944	8420.8	8296.6	51	52	173	180
ERR3684456	99	20	7	7	6	4	1171828	1135753	1115445	1115445	1099267	1011302	52	598755	1157768	1139457	52.71	52.78	598755	598755	44564	44564	369915.9	375860.4	1	1	5	5	0	0	0	1	0	0	0	33 + 0 part	28919	98.908	1.001	0.00	6.83	12.15	598464	1127144	598464	598464	44564	44564	369588.1	375527.4	1	1	5	5
ERR3684457	56	16	11	11	11	7	1140656	1122986	1108387	1108387	1108387	935541	29	204374	1132459	1139457	52.75	52.78	126627	126627	44523	44523	128087.3	127300.6	4	4	9	9	2	2	114180	1	0	0	0	9 + 0 part	6104	98.760	1.001	0.00	29.58	13.15	204374	1125724	126627	126627	43401	43401	125896.1	125122.9	4	4	10	10
ERR3684458	86	21	10	10	8	5	1161754	1130949	1113410	1113410	1078880	953550	50	323590	1150567	1139457	52.74	52.78	275351	275351	44551	44551	202920.8	204899.3	2	2	7	7	0	0	0	0	0	0	0	27 + 1 part	21725	98.909	1.001	0.00	30.50	14.10	323590	1127834	275351	275351	44551	44551	202892.0	204870.3	2	2	7	7
ERR3684459	108	60	44	30	17	5	1136872	1122569	1075746	974777	776594	327475	67	72615	1128387	1139457	52.74	52.78	40388	40388	8169	7565	38383.3	38010.4	11	11	35	36	0	0	0	2	0	0	0	1 + 0 part	698	98.754	1.002	0.00	30.09	13.40	72615	1126740	40388	40388	8169	7565	38376.0	38003.2	11	11	35	36
