Assembly Accession	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value
GCA_000008605.1	strain	Nichols
GCA_000008605.1	sub_species	pallidum
GCA_000017825.1	strain	SS14
GCA_000017825.1	sub_species	pallidum
GCA_000024485.1	strain	Chicago
GCA_000024485.1	sub_species	pallidum
GCA_000246755.1	strain	pertenue Samoa D
GCA_000246755.1	sub_species	pertenue
GCA_000246775.1	strain	CDC2
GCA_000246775.1	sub_species	pertenue
GCA_000246795.1	strain	Gauthier
GCA_000246795.1	sub_species	pertenue
GCA_000246815.1	strain	DAL-1
GCA_000246815.1	sub_species	pallidum
GCA_000304295.1	strain	Mexico A
GCA_000304295.1	sub_species	pallidum
GCA_000387485.1	strain	Fribourg-Blanc
GCA_000410535.2	strain	Nichols
GCA_000410535.2	sub_species	pallidum
GCA_000410555.1	strain	SS14
GCA_000410555.1	sub_species	pallidum
GCA_000604125.1	sub_species	pallidum
GCA_000604125.1	strain	Sea 81-4
GCA_000813285.1	strain	Bosnia A
GCA_000813285.1	sub_species	endemicum
GCA_001628695.1	strain	Amoy
GCA_001628695.1	collection_date	2011-06-23
GCA_001628695.1	env_broad_scale	not applicable
GCA_001628695.1	env_local_scale	not applicable
GCA_001628695.1	env_medium	not applicable
GCA_001628695.1	geo_loc_name	China: Xiamen
GCA_001628695.1	host	Homo sapiens
GCA_001628695.1	isol_growth_condt	not applicable
GCA_001628695.1	lat_lon	24.46 N 118.10000000 E
GCA_001628695.1	propagation	sexual
GCA_001628695.1	host_disease	syphilis
GCA_001628695.1	isolation_source	missing
GCA_001628695.1	collected_by	Tian-Ci Yang
GCA_001628695.1	sub_species	pallidum
GCA_001655235.1	strain	14aa
GCA_001655235.1	host	Homo sapiens
GCA_001655235.1	collection_date	2013-12
GCA_001655235.1	geo_loc_name	USA: Seattle
GCA_001655235.1	sample_type	Bacteria harvested from rabbit testes
GCA_001655235.1	sub_species	pallidum
GCA_001655275.1	isolate	CDC-A
GCA_001655275.1	host	Homo sapiens
GCA_001655275.1	collection_date	2013-12
GCA_001655275.1	geo_loc_name	USA: Seattle
GCA_001655275.1	sample_type	Bacteria harvested from rabbit testes
GCA_001655275.1	sub_species	pallidum
GCA_001655315.1	isolate	Houston Nichols, Clone E
GCA_001655315.1	strain	14aa
GCA_001655315.1	host	Homo sapiens
GCA_001655315.1	collection_date	2013-02
GCA_001655315.1	geo_loc_name	USA: Seattle
GCA_001655315.1	sample_type	Bacteria harvested from rabbit testes
GCA_001655315.1	sub_species	pallidum
GCA_001655355.1	isolate	Houston Nichols, Clone J
GCA_001655355.1	strain	14aa
GCA_001655355.1	host	Homo sapiens
GCA_001655355.1	collection_date	2013-12
GCA_001655355.1	geo_loc_name	USA: Seattle
GCA_001655355.1	sample_type	Bacteria harvested from rabbit testes
GCA_001655355.1	sub_species	pallidum
GCA_001655395.1	isolate	UW074
GCA_001655395.1	strain	14dg
GCA_001655395.1	collected_by	Christina M. Marra
GCA_001655395.1	collection_date	2004-07-01
GCA_001655395.1	geo_loc_name	USA: Seattle
GCA_001655395.1	host	Homo sapiens
GCA_001655395.1	host_disease	syphilis
GCA_001655395.1	isolation_source	blood
GCA_001655395.1	lat_lon	not applicable
GCA_001655395.1	sub_species	pallidum
GCA_001655435.1	isolate	UW189
GCA_001655435.1	strain	13dd
GCA_001655435.1	collected_by	Christina M. Marra
GCA_001655435.1	collection_date	2004-01-14
GCA_001655435.1	geo_loc_name	USA: Seattle
GCA_001655435.1	host	Homo sapiens
GCA_001655435.1	host_disease	syphilis
GCA_001655435.1	isolation_source	blood
GCA_001655435.1	lat_lon	not applicable
GCA_001655435.1	sub_species	pallidum
GCA_001655475.1	isolate	UW228
GCA_001655475.1	strain	15df
GCA_001655475.1	collected_by	Christina M. Marra
GCA_001655475.1	collection_date	2004-04-16
GCA_001655475.1	geo_loc_name	USA: Seattle
GCA_001655475.1	host	Homo sapiens
GCA_001655475.1	host_disease	syphilis
GCA_001655475.1	isolation_source	blood
GCA_001655475.1	lat_lon	not applicable
GCA_001655475.1	sub_species	pallidum
GCA_001655515.1	isolate	UW254
GCA_001655515.1	strain	15df
GCA_001655515.1	collected_by	Christina M. Marra
GCA_001655515.1	collection_date	2004-07-15
GCA_001655515.1	geo_loc_name	USA: Seattle
GCA_001655515.1	host	Homo sapiens
GCA_001655515.1	host_disease	syphilis
GCA_001655515.1	isolation_source	blood
GCA_001655515.1	lat_lon	not applicable
GCA_001655515.1	sub_species	pallidum
GCA_001655555.1	isolate	UW391
GCA_001655555.1	strain	14df
GCA_001655555.1	collected_by	Christina M. Marra
GCA_001655555.1	collection_date	2005-12-21
GCA_001655555.1	geo_loc_name	USA: Seattle
GCA_001655555.1	host	Homo sapiens
GCA_001655555.1	host_disease	syphilis
GCA_001655555.1	isolation_source	blood
GCA_001655555.1	lat_lon	not applicable
GCA_001655555.1	sub_species	pallidum
GCA_001712895.1	strain	PT_SIF0697
GCA_001712895.1	collected_by	NIH, Portugal
GCA_001712895.1	collection_date	2009
GCA_001712895.1	geo_loc_name	Portugal
GCA_001712895.1	host	Homo sapiens
GCA_001712895.1	host_disease	Syphilis
GCA_001712895.1	isolation_source	Penile
GCA_001712895.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001712895.1	sub_species	pallidum
GCA_001712915.1	strain	PT_SIF0857
GCA_001712915.1	collected_by	NIH, Portugal
GCA_001712915.1	collection_date	2010
GCA_001712915.1	geo_loc_name	Portugal
GCA_001712915.1	host	Homo sapiens
GCA_001712915.1	host_disease	Syphilis
GCA_001712915.1	isolation_source	Oropharyngeal
GCA_001712915.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001712915.1	sub_species	pallidum
GCA_001712935.1	strain	PT_SIF0908
GCA_001712935.1	collected_by	NIH, Portugal
GCA_001712935.1	collection_date	2010
GCA_001712935.1	geo_loc_name	Portugal
GCA_001712935.1	host	Homo sapiens
GCA_001712935.1	host_disease	Syphilis
GCA_001712935.1	isolation_source	Vaginal
GCA_001712935.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001712935.1	sub_species	pallidum
GCA_001712955.1	strain	PT_SIF0954
GCA_001712955.1	collected_by	NIH, Portugal
GCA_001712955.1	collection_date	2010
GCA_001712955.1	geo_loc_name	Portugal
GCA_001712955.1	host	Homo sapiens
GCA_001712955.1	host_disease	Syphilis
GCA_001712955.1	isolation_source	Scrotum
GCA_001712955.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001712955.1	sub_species	pallidum
GCA_001712975.1	strain	PT_SIF1002
GCA_001712975.1	collected_by	NIH, Portugal
GCA_001712975.1	collection_date	2011
GCA_001712975.1	geo_loc_name	Portugal
GCA_001712975.1	host	Homo sapiens
GCA_001712975.1	host_disease	Syphilis
GCA_001712975.1	isolation_source	Penile
GCA_001712975.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001712975.1	sub_species	pallidum
GCA_001712995.1	strain	PT_SIF1020
GCA_001712995.1	collected_by	NIH, Portugal
GCA_001712995.1	collection_date	2011
GCA_001712995.1	geo_loc_name	Portugal
GCA_001712995.1	host	Homo sapiens
GCA_001712995.1	host_disease	Syphilis
GCA_001712995.1	isolation_source	Penile
GCA_001712995.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001712995.1	sub_species	pallidum
GCA_001713015.1	strain	PT_SIF1063
GCA_001713015.1	collected_by	NIH, Portugal
GCA_001713015.1	collection_date	2012
GCA_001713015.1	geo_loc_name	Portugal
GCA_001713015.1	host	Homo sapiens
GCA_001713015.1	host_disease	Syphilis
GCA_001713015.1	isolation_source	Anal
GCA_001713015.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713015.1	sub_species	pallidum
GCA_001713035.1	strain	PT_SIF1127
GCA_001713035.1	collected_by	NIH, Portugal
GCA_001713035.1	collection_date	2013
GCA_001713035.1	geo_loc_name	Portugal
GCA_001713035.1	host	Homo sapiens
GCA_001713035.1	host_disease	Syphilis
GCA_001713035.1	isolation_source	Penile
GCA_001713035.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713035.1	sub_species	pallidum
GCA_001713055.1	strain	PT_SIF1135
GCA_001713055.1	collected_by	NIH, Portugal
GCA_001713055.1	collection_date	2013
GCA_001713055.1	geo_loc_name	Portugal
GCA_001713055.1	host	Homo sapiens
GCA_001713055.1	host_disease	Syphilis
GCA_001713055.1	isolation_source	Anal
GCA_001713055.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713055.1	sub_species	pallidum
GCA_001713075.1	strain	PT_SIF1140
GCA_001713075.1	collected_by	NIH, Portugal
GCA_001713075.1	collection_date	2013
GCA_001713075.1	geo_loc_name	Portugal
GCA_001713075.1	host	Homo sapiens
GCA_001713075.1	host_disease	Syphilis
GCA_001713075.1	isolation_source	Anal
GCA_001713075.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713075.1	sub_species	pallidum
GCA_001713095.1	strain	PT_SIF1142
GCA_001713095.1	collected_by	NIH, Portugal
GCA_001713095.1	collection_date	2013
GCA_001713095.1	geo_loc_name	Portugal
GCA_001713095.1	host	Homo sapiens
GCA_001713095.1	host_disease	Syphilis
GCA_001713095.1	isolation_source	Penile
GCA_001713095.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713095.1	sub_species	pallidum
GCA_001713115.1	strain	PT_SIF1156
GCA_001713115.1	collected_by	NIH, Portugal
GCA_001713115.1	collection_date	2013
GCA_001713115.1	geo_loc_name	Portugal
GCA_001713115.1	host	Homo sapiens
GCA_001713115.1	host_disease	Syphilis
GCA_001713115.1	isolation_source	Penile
GCA_001713115.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713115.1	sub_species	pallidum
GCA_001713135.1	strain	PT_SIF1167
GCA_001713135.1	collected_by	NIH, Portugal
GCA_001713135.1	collection_date	2013
GCA_001713135.1	geo_loc_name	Portugal
GCA_001713135.1	host	Homo sapiens
GCA_001713135.1	host_disease	Syphilis
GCA_001713135.1	isolation_source	Penile
GCA_001713135.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713135.1	sub_species	pallidum
GCA_001713155.1	strain	PT_SIF1183
GCA_001713155.1	collected_by	NIH, Portugal
GCA_001713155.1	collection_date	2013
GCA_001713155.1	geo_loc_name	Portugal
GCA_001713155.1	host	Homo sapiens
GCA_001713155.1	host_disease	Syphilis
GCA_001713155.1	isolation_source	Penile
GCA_001713155.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713155.1	sub_species	pallidum
GCA_001713175.1	strain	PT_SIF1196
GCA_001713175.1	collected_by	NIH, Portugal
GCA_001713175.1	collection_date	2013
GCA_001713175.1	geo_loc_name	Portugal
GCA_001713175.1	host	Homo sapiens
GCA_001713175.1	host_disease	Syphilis
GCA_001713175.1	isolation_source	Penile
GCA_001713175.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713175.1	sub_species	pallidum
GCA_001713195.1	strain	PT_SIF1200
GCA_001713195.1	collected_by	NIH, Portugal
GCA_001713195.1	collection_date	2013
GCA_001713195.1	geo_loc_name	Portugal
GCA_001713195.1	host	Homo sapiens
GCA_001713195.1	host_disease	Syphilis
GCA_001713195.1	isolation_source	Penile
GCA_001713195.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713195.1	sub_species	pallidum
GCA_001713215.1	strain	PT_SIF1242
GCA_001713215.1	collected_by	NIH, Portugal
GCA_001713215.1	collection_date	2014
GCA_001713215.1	geo_loc_name	Portugal
GCA_001713215.1	host	Homo sapiens
GCA_001713215.1	host_disease	Syphilis
GCA_001713215.1	isolation_source	Penile
GCA_001713215.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713215.1	sub_species	pallidum
GCA_001713235.1	strain	PT_SIF1252
GCA_001713235.1	collected_by	NIH, Portugal
GCA_001713235.1	collection_date	2014
GCA_001713235.1	geo_loc_name	Portugal
GCA_001713235.1	host	Homo sapiens
GCA_001713235.1	host_disease	Syphilis
GCA_001713235.1	isolation_source	Penile
GCA_001713235.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713235.1	sub_species	pallidum
GCA_001713255.1	strain	PT_SIF1261
GCA_001713255.1	collected_by	NIH, Portugal
GCA_001713255.1	collection_date	2014
GCA_001713255.1	geo_loc_name	Portugal
GCA_001713255.1	host	Homo sapiens
GCA_001713255.1	host_disease	Syphilis
GCA_001713255.1	isolation_source	Anal
GCA_001713255.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713255.1	sub_species	pallidum
GCA_001713275.1	strain	PT_SIF1278
GCA_001713275.1	collected_by	NIH, Portugal
GCA_001713275.1	collection_date	2014
GCA_001713275.1	geo_loc_name	Portugal
GCA_001713275.1	host	Homo sapiens
GCA_001713275.1	host_disease	Syphilis
GCA_001713275.1	isolation_source	Anal
GCA_001713275.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713275.1	sub_species	pallidum
GCA_001713295.1	strain	PT_SIF1280
GCA_001713295.1	collected_by	NIH, Portugal
GCA_001713295.1	collection_date	2014
GCA_001713295.1	geo_loc_name	Portugal
GCA_001713295.1	host	Homo sapiens
GCA_001713295.1	host_disease	Syphilis
GCA_001713295.1	isolation_source	Anal
GCA_001713295.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713295.1	sub_species	pallidum
GCA_001713315.1	strain	PT_SIF1299
GCA_001713315.1	collected_by	NIH, Portugal
GCA_001713315.1	collection_date	2014
GCA_001713315.1	geo_loc_name	Portugal
GCA_001713315.1	host	Homo sapiens
GCA_001713315.1	host_disease	Syphilis
GCA_001713315.1	isolation_source	Penile
