Genome	sub_species	strain	collection_date	geo_loc_name	host	host_disease	isolation_source	isolate	host_health_state	TPA_Lineage	Rank_1_Lineage	Rank_2_Lineage	Rank_3_Lineage	Rank_4_Lineage	Rank_5_Lineage	overall_Lineage	Status	Status.colour	ST	TP0136	TP0548	TP0705	TPASub	Canada
GCA_018204215	pallidum	Japan346e	2019	Japan	Human	syphilis	swab	NA	NA	NA	20	7	7	6	5	20-7-7-6-5	Reference	#000000	Unknown	20*?	81*	9	Unknown	Global
GCA_018205095	pallidum	Japan322e	2019	Japan	Human	syphilis	swab	NA	NA	NA	20	7	7	6	5	20-7-7-6-5	Reference	#000000	Unknown	15*?	81*	9	Unknown	Global
GCA_023116935	endemicum	C279	2017	Other	Human	bejel	genital ulcer	NA	NA	NA	15	7	7	6	5	15-7-7-6-5	Reference	#000000	Unknown	15*?	81*	10	Unknown	Global
GCA_000813285	endemicum	Bosnia A	NA	Other	Unknown	unknown	NA	NA	NA	NA	15	7	7	6	5	15-7-7-6-5	Reference	#000000	Unknown	15*?	81*	10	Unknown	Global
GCA_004194495	endemicum	Iraq B	1951	Other	Human	endemic syphilis	lesion	NA	NA	NA	15	7	7	6	5	15-7-7-6-5	Reference	#000000	Unknown	15*?	16*	10	Unknown	Global
GCA_029866645	pertenue	7SNM5081115	2015.85205479452	Tanzania	Primate	anogenital lesion	skin	NA	NA	NA	14	6	6	4	4	14-6-6-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_029866685	pertenue	34LMM2190317	2017.21095890411	Tanzania	Primate	anogenital lesion	skin	NA	NA	NA	14	6	6	4	4	14-6-6-4-4	Reference	#000000	Unknown	28*?	16*?	10	Unknown	Global
GCA_029866585	pertenue	6RUM2090716	2016.51912568306	Tanzania	Primate	anogenital lesion	skin	NA	NA	NA	12	6	6	4	4	12-6-6-4-4	Reference	#000000	Unknown	24*?	68*?	10	Unknown	Global
GCA_029866565	pertenue	19LMF8280815	2015.65479452055	Tanzania	Primate	anogenital lesion	skin	NA	NA	NA	12	6	6	4	4	12-6-6-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_029866745	pertenue	11LMF5200815	2015.63287671233	Tanzania	Primate	anogenital lesion	swab	NA	NA	NA	12	6	6	4	4	12-6-6-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_029866765	pertenue	49F8190407	2007.29589041096	Tanzania	Primate	anogenital lesion	skin	NA	NA	NA	12	6	6	4	4	12-6-6-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_003952805	pertenue	CDC-1	1980.83333333333	Other	Human	yaws	papillomatous lesion	NA	NA	NA	10	5	5	4	4	10-5-5-4-4	Reference	#000000	Failed	-	67*?	10	Failed	Global
GCA_003611315	pertenue	Sei Geringging K403	1990.36438356164	Other	Human	yaws	skin lesion	NA	NA	NA	10	5	5	4	4	10-5-5-4-4	Reference	#000000	Unknown	24*?	8*?	10	Unknown	Global
GCA_900298965	Unknown	BNK07	NA	Other	Unknown	unknown	NA	NA	NA	NA	16	5	5	4	4	16-5-5-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_000387485	Unknown	Fribourg-Blanc	NA	Other	Unknown	unknown	NA	NA	NA	NA	16	5	5	4	4	16-5-5-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_900298975	Unknown	SNK05	NA	Other	Unknown	unknown	NA	NA	NA	NA	16	5	5	4	4	16-5-5-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_900291945	Unknown	A10	NA	Other	Unknown	unknown	NA	NA	NA	NA	16	5	5	4	4	16-5-5-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_900298905	Unknown	A12	NA	Other	Unknown	unknown	NA	NA	NA	NA	16	5	5	4	4	16-5-5-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_000246795	pertenue	Gauthier	NA	Other	Unknown	unknown	NA	NA	NA	NA	10	5	5	4	4	10-5-5-4-4	Reference	#000000	Unknown	24*?	49*?	10	Unknown	Global
GCA_903469575	pertenue	R7-KUN2-001	2016	Other	Human	unknown	skin lesion swab	NA	disease:yaws	NA	25	5	5	4	4	25-5-5-4-4	Query	#ff0000	Failed	-	28*?	10	Failed	Global
GCA_000246755	pertenue	pertenue Samoa D	NA	Other	Unknown	unknown	NA	NA	NA	NA	25	5	5	4	4	25-5-5-4-4	Reference	#000000	Unknown	24*?	49*?	10	Unknown	Global
GCA_000246775	pertenue	CDC2	NA	Other	Unknown	unknown	NA	NA	NA	NA	10	5	5	4	4	10-5-5-4-4	Reference	#000000	Unknown	28*?	49*?	10	Unknown	Global
GCA_903469595	pertenue	R3-SAL-007	2014	Other	Human	unknown	skin lesion swab	NA	disease:yaws	NA	25	5	5	4	4	25-5-5-4-4	Query	#ff0000	Unknown	24*?	10*?	10	Unknown	Global
GCA_903469605	pertenue	R2-106190	2013	Other	Human	unknown	skin lesion swab	NA	disease:yaws	NA	11	8	8	7	4	11-8-8-7-4	Query	#ff0000	Failed	-	49*?	10	Failed	Global
GCA_903234185	pertenue	R2-64919	2013	Other	Human	unknown	skin lesion swab	NA	disease:yaws	NA	11	8	8	7	4	11-8-8-7-4	Query	#ff0000	Failed	-	49*?	10	Failed	Global
GCA_903234195	pertenue	R7-PUT1-002	2016	Other	Human	unknown	skin lesion swab	NA	disease:yaws	NA	11	8	8	7	4	11-8-8-7-4	Reference	#000000	Failed	-	68*?	10	Failed	Global
ERR4853617	NA	NA	NA	Other	Human	NA	NA	NA	NA	NA	11	8	8	7	4	11-8-8-7-4	Reference	#000000	Failed	-	49*?	10	Failed	Global
ERR4899211	NA	NA	NA	Other	Human	NA	NA	NA	NA	NA	11	8	8	7	4	11-8-8-7-4	Reference	#000000	Failed	-	49*?	10	Failed	Global
ERR3684466	NA	NA	NA	Other	Human	NA	NA	NA	NA	NA	7	2	2	2	2	7-2-2-2-2	Reference	#000000	Unknown	36	81	10*	Unknown	Global
ERR4853570	NA	NA	1983	USA	Human	NA	NA	NA	NA	Nichols	2	2	2	2	2	2-2-2-2-2	Reference	#000000	23	12	15	10	Nichols-like	Global
GCA_000604125	pallidum	Sea 81-4	NA	Other	Unknown	unknown	NA	NA	NA	NA	2	2	2	2	2	2-2-2-2-2	Reference	#000000	23	12	15	10	Nichols-like	Global
ERR3684483	NA	NA	NA	Other	Human	NA	NA	NA	NA	NA	7	2	2	2	2	7-2-2-2-2	Reference	#000000	Unknown	28*	2	10	Unknown	Global
GCA_005311125	pallidum	CW65	2014	Other	Human	syphilis	anal smear	NA	NA	NA	2	2	2	2	2	2-2-2-2-2	Reference	#000000	47	9	14	3	Nichols-like	Global
ERR3684484	NA	NA	2012	UK	Human	NA	NA	NA	NA	Nichols	6	2	2	2	2	6-2-2-2-2	Reference	#000000	Unknown	28*	2	10	Unknown	Global
ERR4045383	NA	NA	2012	UK	Human	NA	NA	NA	NA	Nichols	7	2	2	2	2	7-2-2-2-2	Reference	#000000	Unknown	28*	2	10	Unknown	Global
GCA_018202855	pallidum	UAB46xei	2000	Madagascar	Human	syphilis	swab	NA	NA	NA	4	3	3	3	3	4-3-3-3-3	Reference	#000000	65	20*	2	10	Nichols-like	Global
GCA_018200175	pallidum	UAB81xi	2001	Madagascar	Human	syphilis	swab	NA	NA	NA	4	3	3	3	3	4-3-3-3-3	Reference	#000000	65	20*	2	10	Nichols-like	Global
GCA_018203595	pallidum	UAB12xi	2000	Madagascar	Human	syphilis	swab	NA	NA	NA	4	3	3	3	3	4-3-3-3-3	Reference	#000000	Unknown	20*	2	3	Unknown	Global
GCA_018201335	pallidum	UAB549xe	2007	Madagascar	Human	syphilis	swab	NA	NA	NA	4	3	3	3	3	4-3-3-3-3	Reference	#000000	Unknown	20*	2	3	Unknown	Global
GCA_018202275	pallidum	UAB529i	2006	Madagascar	Human	syphilis	swab	NA	NA	NA	4	3	3	3	3	4-3-3-3-3	Reference	#000000	65	20*	2*	10	Nichols-like	Global
GCA_018201395	pallidum	UAB538xi	2007	Madagascar	Human	syphilis	swab	NA	NA	NA	4	3	3	3	3	4-3-3-3-3	Reference	#000000	65	20*	2	10	Nichols-like	Global
GCA_018203275	pallidum	UAB202xi	2002	Madagascar	Human	syphilis	swab	NA	NA	NA	4	3	3	3	3	4-3-3-3-3	Reference	#000000	65	20*	2	10	Nichols-like	Global
ERR4045395	NA	NA	2015	UK	Human	NA	NA	NA	NA	Nichols	7	2	2	2	2	7-2-2-2-2	Reference	#000000	6	3	2	3	Nichols-like	Global
ERR4899206	NA	NA	2015	Spain	Human	NA	NA	NA	NA	Nichols	7	2	2	2	2	7-2-2-2-2	Reference	#000000	6	3	2	3	Nichols-like	Global
