Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
ERR3684450	34	6	6	6	5	5	1135936	1126056	1126056	1126056	1109324	1109324	13	299580	1131962	1139457	52.75	52.70	299307	299307	175114	175114	2	2	4	4	0	0	0	12	0	0	0	1 + 7 part	19487	99.829	1.001	0.00	8.82	10.80	294829	1111222	292800	292800	174926	174926	2	2	4	4
ERR3684451	26	7	7	6	5	4	1129503	1120945	1120945	1114663	1097932	1054531	14	598770	1126914	1139457	52.75	52.70	598770	598770	126655	126655	1	1	3	3	1	1	120352	12	0	0	0	1 + 6 part	19035	99.373	1.002	0.00	5.25	11.03	588017	1106613	588017	588017	125860	125860	1	1	3	3
ERR3684452	22	5	5	5	4	4	1134408	1125296	1125296	1125296	1109555	1109555	13	598759	1132023	1139457	52.75	52.70	598759	598759	175124	175124	1	1	3	3	0	0	0	11	0	0	0	1 + 6 part	18944	99.851	1.002	0.00	24.21	12.60	588004	1111794	588004	588004	175069	175069	1	1	3	3
ERR3684453	23	5	5	5	4	4	1134537	1126137	1126137	1126137	1109458	1109458	12	598764	1131915	1139457	52.75	52.70	598764	598764	175175	175175	1	1	3	3	0	0	0	11	0	0	0	1 + 6 part	19041	99.843	1.002	0.00	24.21	12.42	587993	1111676	587993	587993	175050	175050	1	1	3	3
ERR3684454	26	11	10	9	8	5	1129420	1121320	1117108	1111892	1095212	983993	18	417172	1127126	1139457	52.75	52.70	172967	172967	154191	154191	2	2	4	4	0	0	0	12	0	0	0	1 + 7 part	19676	99.393	1.001	0.00	21.16	11.94	406489	1106952	169582	169582	154146	154146	2	2	4	4
ERR3684455	290	220	74	24	3	0	1125745	1083558	706900	372280	81104	0	263	30168	1117274	1139457	52.72	52.70	6419	6302	3493	3470	48	50	105	110	1	1	750	8	0	0	1	1 + 13 part	19018	98.331	1.004	0.00	30.16	11.06	30168	1097306	6267	6123	3423	3223	48	50	108	113
ERR3684456	26	5	5	5	4	4	1137433	1126184	1126184	1126184	1109441	1109441	15	598849	1134522	1139457	52.74	52.70	598849	598849	175111	175111	1	1	3	3	0	0	0	10	0	0	0	4 + 6 part	21468	99.851	1.002	0.00	5.85	11.34	588096	1111837	588096	588096	175014	175014	1	1	3	3
ERR3684457	27	10	9	9	8	7	1134049	1126158	1121386	1121386	1104706	1056027	17	208978	1131940	1139457	52.75	52.70	175031	175031	126659	126659	3	3	5	5	0	0	0	11	0	0	0	1 + 8 part	19353	99.830	1.002	0.00	23.14	11.70	204914	1111309	174978	174978	125873	96216	3	3	5	6
ERR3684458	28	11	11	11	8	6	1134529	1126262	1126262	1126262	1067196	980411	18	275351	1132041	1139457	52.75	52.70	175133	175133	99797	99797	3	3	5	5	0	0	0	11	0	0	0	1 + 10 part	19807	99.847	1.001	0.00	22.95	12.24	270936	1111713	175009	175009	99063	99063	3	3	5	5
ERR3684459	89	61	47	29	12	4	1135415	1126885	1093288	964279	716848	445583	66	168747	1130801	1139457	52.74	52.70	38484	31839	14360	13907	7	8	20	21	1	1	4482	9	0	0	0	2 + 12 part	19351	99.754	1.001	0.00	25.14	12.16	168694	1111346	31839	31839	13893	13893	8	8	21	21
ERR3684460	23	6	6	6	5	4	1129378	1120978	1120978	1120978	1104247	1060846	13	598774	1126974	1139457	52.75	52.70	598774	598774	126672	126672	1	1	3	3	1	1	126672	11	0	0	0	1 + 6 part	19116	99.379	1.002	0.00	4.61	10.76	588027	1106676	588027	588027	125859	125859	1	1	3	3
