Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
ERR3684450	71	17	9	9	8	5	1149773	1128014	1114776	1114776	1098244	974716	28	299402	1136305	1139457	52.70	52.78	298962	298962	43201	43201	207947.9	207372.7	2	2	7	7	0	0	0	0	0	0	0	11 + 0 part	12325	98.614	1.000	0.00	7.03	12.10	299373	1123580	298962	298962	43201	43201	207893.7	207318.6	2	2	7	7
ERR3684451	55	13	8	8	7	4	1139488	1123439	1114901	1114901	1098370	974837	23	598566	1130741	1139457	52.73	52.78	598566	598566	44392	43201	367492.1	364681.1	1	1	5	6	0	0	0	1	0	0	0	6 + 1 part	6540	98.622	1.000	0.00	7.30	11.93	598277	1123541	598277	598277	44392	43201	367154.3	364345.8	1	1	5	6
ERR3684452	52	13	9	9	8	5	1134920	1120853	1111047	1111047	1099003	975434	22	303563	1126971	1139457	52.72	52.78	299399	299399	44396	43201	211451.9	209134.8	2	2	6	7	1	1	303563	1	0	0	0	2 + 0 part	2438	98.632	1.000	0.00	30.70	13.88	299355	1123779	299130	299130	44396	43201	209069.7	206778.7	2	2	6	7
ERR3684453	32	13	8	8	7	4	1128455	1121628	1111244	1111244	1094765	971168	18	598699	1124812	1139457	52.73	52.78	598699	598699	44396	43201	369017.8	364275.0	1	1	5	6	0	0	0	0	0	0	0	0 + 0 part	0	98.701	1.000	0.00	37.98	13.87	598615	1124411	598615	598615	44396	43201	368919.2	364177.6	1	1	5	6
ERR3684454	45	13	10	10	9	6	1130916	1118770	1110532	1110532	1094052	970552	21	299310	1124254	1139457	52.73	52.78	172767	172767	44327	43201	171577.0	169287.8	3	3	7	8	0	0	0	0	0	0	0	1 + 0 part	837	98.581	1.000	0.00	30.10	13.72	299034	1122824	172767	172767	44327	43201	171420.3	169133.2	3	3	7	8
ERR3684455	272	210	79	24	1	0	1077321	1044776	712324	333699	28337	0	241	28337	1067920	1139457	52.64	52.78	6822	6420	2097	1225	8270.6	7751.3	49	55	154	193	0	0	0	1	0	0	0	0 + 0 part	0	93.702	1.000	0.00	31.95	11.34	28337	1067324	6822	6420	2092	1207	8266.5	7747.5	49	55	155	194
ERR3684456	122	22	7	7	6	4	1177624	1140194	1114788	1114788	1098245	1010680	48	598555	1157245	1139457	52.69	52.78	598555	598555	44364	44364	369789.8	375562.6	1	1	5	5	0	0	0	1	0	0	0	30 + 1 part	32103	98.631	1.000	0.00	8.19	12.37	598264	1123721	598264	598264	44364	44364	369441.2	375208.6	1	1	5	5
ERR3684457	54	16	10	10	10	7	1135161	1121167	1106395	1106395	1106395	982801	25	204174	1127142	1139457	52.73	52.78	172765	172765	44393	44393	141248.3	139721.8	3	3	8	8	2	2	113780	0	0	0	0	5 + 0 part	4153	98.541	1.000	0.00	30.55	13.36	204174	1122672	172765	172765	44393	43201	139083.2	137580.0	3	3	8	9
ERR3684458	101	23	10	10	8	5	1160552	1130831	1111484	1111484	1077354	952608	40	374922	1143251	1139457	52.71	52.78	223725	223725	43201	43201	212856.7	213565.5	2	2	7	7	0	0	0	1	0	0	0	18 + 1 part	19037	98.618	1.000	0.00	35.87	12.73	374607	1123452	223725	223725	43201	43201	212630.1	213338.1	2	2	7	7
ERR3684459	87	61	50	35	14	3	1119064	1109394	1082502	971908	638367	238356	67	94284	1113420	1139457	52.70	52.78	31266	31266	8739	6948	37138.4	36289.7	12	12	39	42	1	1	15913	0	0	0	0	0 + 0 part	0	97.683	1.000	0.00	30.20	13.12	94284	1112636	31266	31266	8739	6948	37043.6	36197.1	12	12	39	42
ERR3684460	144	26	9	9	8	5	1190607	1144278	1116020	1116020	1099489	974904	54	299587	1165465	1139457	52.70	52.78	298962	298962	43201	43201	202956.1	207588.5	2	2	7	7	0	0	0	1	0	0	0	35 + 2 part	41344	98.613	1.000	0.00	7.39	11.22	299114	1123319	298962	298962	43201	43201	202648.9	207274.3	2	2	7	7
ERR3684461	201	152	77	30	4	1	1098725	1074508	872129	532519	156556	54487	174	54487	1090766	1139457	52.73	52.78	9246	9057	3094	2250	14143.6	13539.2	32	34	105	122	0	0	0	0	0	0	0	5 + 0 part	3759	95.394	1.000	0.00	29.81	12.42	54487	1086944	9246	9057	3094	2250	14139.8	13535.6	32	34	105	122
ERR3684462	395	250	72	7	0	0	1041015	963706	535757	88974	0	0	324	15447	1017665	1139457	52.59	52.78	5186	4546	1424	-	5534.1	4942.6	67	80	211	-	2	2	14005	0	0	0	0	0 + 0 part	0	89.285	1.001	0.00	31.25	11.69	15447	1017576	5165	4513	1424	-	5490.3	4903.5	68	80	213	-
ERR3684463	675	326	38	4	0	0	1053176	888715	276272	56497	0	0	466	16207	988467	1139457	52.58	52.78	2884	2480	999	-	3986.7	3458.4	96	125	327	-	3	3	25131	1	0	0	0	38 + 2 part	38554	83.360	1.000	0.00	38.86	14.22	15071	949543	2855	2462	836	-	3805.6	3301.3	98	127	339	-
ERR3684464	366	228	65	20	0	0	1086299	1020617	588771	288149	0	0	283	24143	1061228	1139457	52.70	52.78	5589	5297	1712	953	7351.2	6846.5	55	62	181	234	0	0	0	0	0	0	0	10 + 2 part	11848	92.067	1.001	0.00	34.03	13.63	24143	1049196	5589	5297	1712	851	7333.7	6830.2	55	62	181	237
ERR3684465	297	218	69	22	1	0	1071590	1035665	660779	322443	25295	0	249	25295	1057844	1139457	52.62	52.78	6897	6181	1897	1203	8320.9	7724.9	47	54	161	209	1	1	18534	2	0	0	0	2 + 0 part	1829	92.614	1.000	0.00	42.47	13.46	25295	1054804	6770	6181	1884	1089	8196.5	7609.5	48	54	163	211
ERR3684466	60	33	26	25	18	8	1127573	1116910	1096818	1091575	979186	642005	39	132407	1121367	1139457	52.73	52.78	62264	62264	18195	16195	63124.3	62122.2	7	7	20	21	1	1	3247	0	0	0	0	1 + 0 part	912	98.305	1.000	0.00	38.84	14.29	132407	1119972	62264	62264	18195	16195	63117.3	62115.2	7	7	20	21
ERR3684467	246	136	67	38	7	0	1130766	1092075	910692	705080	259627	0	161	49618	1108571	1139457	52.66	52.78	12832	12394	3369	2766	16994.1	16533.5	25	26	89	98	0	0	0	1	0	0	0	20 + 0 part	16081	95.848	1.000	0.00	32.05	13.00	49618	1092111	12832	12394	3369	2766	16977.9	16517.7	25	26	89	98
ERR3684468	553	310	37	1	0	0	987836	856533	245175	12056	0	0	432	12056	947905	1139457	52.58	52.78	2869	2400	1043	-	3579.1	2977.4	99	136	307	-	1	1	2614	0	0	0	0	1 + 0 part	779	83.037	1.001	0.00	37.62	13.10	12056	946278	2869	2383	1038	-	3568.5	2968.6	99	136	309	-
ERR3684469	102	63	42	37	15	3	1126047	1113977	1059292	1022407	654690	258510	68	121889	1117132	1139457	52.71	52.78	28168	28168	10866	7836	39993.6	39210.1	12	12	36	38	1	1	7122	1	0	0	0	3 + 0 part	3398	97.716	1.000	0.00	31.63	12.85	121889	1112948	28168	28168	10866	7836	39962.5	39179.6	12	12	36	38
ERR3684470	369	161	69	36	5	2	1182208	1106566	866536	636737	205969	117526	203	67331	1136027	1139457	52.68	52.78	11512	11512	2662	2592	16218.9	16170.0	30	30	110	111	1	1	8949	1	0	0	1	44 + 1 part	46508	95.524	1.000	0.00	35.83	13.32	67329	1088468	11512	11512	2662	2592	16130.0	16081.5	30	30	111	112
ERR3684471	118	65	50	32	17	4	1133409	1111902	1072099	938418	681707	246377	82	74888	1124170	1139457	52.72	52.78	30950	30950	7424	7100	32244.4	31811.9	13	13	41	43	1	1	34469	0	0	0	0	12 + 1 part	10661	97.745	1.000	0.00	34.13	11.86	74888	1113366	30950	30950	7424	7100	32042.0	31612.2	13	13	41	43
ERR3684472	87	45	32	25	14	7	1132538	1115396	1086141	1033427	871049	649110	58	202427	1124488	1139457	52.71	52.78	68149	68149	11101	10155	76292.0	75289.8	6	6	23	25	0	0	0	0	0	0	0	7 + 0 part	6525	98.084	1.000	0.00	30.69	14.14	202427	1117498	68149	68149	11101	10155	76282.7	75280.6	6	6	23	25
ERR3684473	122	36	9	9	8	5	1183502	1151081	1104849	1104849	1093274	975098	58	299282	1166579	1139457	52.69	52.78	208815	208815	43201	43201	198264.2	202983.3	3	3	7	7	0	0	0	0	0	0	0	33 + 4 part	42610	98.603	1.000	0.00	37.48	13.26	298997	1123361	208815	208815	43201	43201	198061.9	202776.2	3	3	7	7
ERR3684474	43	25	17	15	12	6	1124845	1118066	1098935	1084179	1033886	795050	31	361537	1121945	1139457	52.72	52.78	96185	96185	35007	35007	162659.3	160159.5	3	3	12	12	0	0	0	0	0	0	0	0 + 0 part	0	98.431	1.000	0.00	38.07	13.64	361450	1121541	96185	96185	35007	35007	162601.9	160102.9	3	3	12	12
ERR3684475	118	73	56	34	13	2	1126646	1109594	1062443	915931	550891	195122	82	118550	1116252	1139457	52.71	52.78	24620	24620	6218	5746	35587.2	34862.4	14	14	46	50	0	0	0	0	0	0	0	6 + 1 part	6999	97.353	1.000	0.00	31.28	12.35	118550	1109239	24620	24620	6218	5746	35569.2	34844.8	14	14	46	50
ERR3684476	86	49	37	27	16	5	1128351	1114521	1081479	1004746	846389	435335	60	126521	1121606	1139457	52.70	52.78	44314	44314	9643	9201	53891.7	53047.4	8	8	28	30	0	0	0	0	0	0	0	7 + 0 part	4844	97.995	1.000	0.00	37.26	13.97	126521	1116373	44314	44314	9643	9201	53881.9	53037.8	8	8	28	30
ERR3684477	38	15	11	11	9	5	1127965	1119839	1110512	1110512	1080224	922133	21	303535	1123821	1139457	52.73	52.78	299422	299422	35912	35912	203930.1	201131.7	2	2	8	8	1	1	303535	1	0	0	0	0 + 0 part	0	98.613	1.000	0.00	30.44	13.89	299378	1123451	299103	299103	35912	35912	201545.0	198779.4	2	2	8	8
ERR3684478	102	77	47	32	13	6	1111871	1101829	1030684	923025	642027	401946	87	94258	1108791	1139457	52.74	52.78	34964	31257	6235	5365	38107.6	37082.0	10	11	42	46	0	0	0	0	0	0	0	0 + 0 part	0	97.292	1.000	0.00	31.22	13.26	94258	1108437	34964	31257	6235	5048	38098.8	37073.5	10	11	42	47
ERR3684479	73	36	27	23	17	9	1132827	1119691	1102254	1077049	986582	741915	43	167374	1124041	1139457	52.72	52.78	61919	61919	18783	18783	72391.0	71411.6	6	6	19	19	2	1	61919	0	0	0	0	4 + 0 part	3990	98.283	1.000	0.00	30.19	13.49	167374	1119599	58869	57435	18783	14607	71922.3	70949.3	6	7	19	20
ERR3684480	25	12	8	8	7	4	1127108	1121318	1112690	1112690	1095601	972096	17	598696	1125070	1139457	52.71	52.78	598696	598696	44392	43201	369117.8	364457.3	1	1	5	6	0	0	0	1	0	0	0	1 + 0 part	895	98.619	1.000	0.00	7.21	11.84	598426	1123534	598426	598426	44392	43201	368803.7	364147.1	1	1	5	6
ERR3684481	1068	299	9	1	0	0	951566	604831	60363	11994	0	0	587	11994	811845	1139457	52.43	52.78	1616	1084	704	-	2283.8	1627.2	142	266	450	-	2	2	7566	1	0	0	0	50 + 4 part	47087	67.038	1.000	0.00	35.47	11.00	11994	763924	1591	1033	581	-	2190.3	1560.5	144	273	474	-
ERR3684482	144	30	15	15	12	8	1181272	1136072	1108494	1108494	1064532	908738	60	258480	1157034	1139457	52.79	52.78	108903	108903	26069	42084	120709.1	122571.1	4	4	12	11	0	0	0	0	0	0	0	33 + 3 part	34821	98.456	1.000	0.00	15.33	11.77	258390	1121794	108903	108903	26069	42084	120629.5	122490.3	4	4	12	11
ERR3684483	72	52	35	29	18	5	1123789	1115977	1078857	1038419	875769	367754	59	88654	1120685	1139457	52.71	52.78	42889	42889	11254	10951	45641.4	44889.5	10	10	27	28	0	0	0	0	0	0	0	3 + 0 part	3728	97.993	1.000	0.00	32.51	13.70	88654	1116623	42883	42883	11254	10951	45633.6	44881.8	10	10	27	28
ERR3684484	258	198	80	31	0	0	1080291	1052733	744579	409514	0	0	221	21758	1068987	1139457	52.76	52.78	7646	6969	2322	1462	8435.1	7913.4	46	51	141	176	2	2	14792	0	0	0	0	1 + 0 part	1207	93.698	1.000	0.00	36.72	14.24	21758	1067437	7646	6665	2273	1440	8396.8	7877.5	46	51	143	178
ERR3684485	637	68	29	23	13	7	1352006	1174615	1112081	1071729	932247	739029	127	149591	1215204	1139457	52.64	52.78	104120	104120	6613	12114	77669.8	82833.0	5	5	27	19	1	1	123871	1	0	0	0	92 + 2 part	97082	98.138	1.000	0.00	20.58	10.38	149591	1117469	104120	104120	6396	12045	76843.7	81952.0	5	5	27	20
ERR3684486	259	176	73	27	4	0	1093384	1055058	758625	422276	109229	0	211	29858	1080252	1139457	52.76	52.78	8609	8000	2551	1698	10198.0	9668.2	40	44	130	155	0	0	0	0	0	0	0	9 + 0 part	6895	94.228	1.000	0.00	27.48	12.48	29858	1073313	8606	8000	2551	1698	10192.1	9662.5	40	44	130	155
ERR3684487	321	147	72	29	7	1	1182778	1113265	915724	599240	280409	89023	195	89023	1146888	1139457	52.60	52.78	11203	11203	3350	3401	19423.6	19550.3	27	27	101	99	2	2	21590	0	0	0	1	53 + 2 part	56157	95.694	1.001	0.00	36.95	13.57	89023	1090684	11203	11203	3350	3401	19270.2	19395.9	27	27	102	100
