Bin.Id	Marker lineage	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR3684450	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684451	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684452	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684453	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684454	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684455	f__Spirochaetaceae (UID2512)	56	235	124	2	227	4	2	0	0	98.79	2.32	60.00
ERR3684456	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684457	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00
ERR3684458	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684459	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00
ERR3684460	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684461	f__Spirochaetaceae (UID2512)	56	235	124	3	229	3	0	0	0	98.39	0.70	33.33
ERR3684462	f__Spirochaetaceae (UID2512)	56	235	124	6	219	10	0	0	0	96.88	4.29	30.00
ERR3684463	f__Spirochaetaceae (UID2512)	56	235	124	8	214	12	1	0	0	95.62	5.06	53.33
ERR3684464	f__Spirochaetaceae (UID2512)	56	235	124	6	224	5	0	0	0	96.88	2.02	20.00
ERR3684465	f__Spirochaetaceae (UID2512)	56	235	124	4	226	5	0	0	0	97.96	3.39	40.00
ERR3684466	f__Spirochaetaceae (UID2512)	56	235	124	0	234	0	1	0	0	100.00	0.32	66.67
ERR3684467	f__Spirochaetaceae (UID2512)	56	235	124	3	230	2	0	0	0	98.76	0.97	0.00
ERR3684468	f__Spirochaetaceae (UID2512)	56	235	124	14	210	11	0	0	0	91.78	3.36	18.18
ERR3684469	f__Spirochaetaceae (UID2512)	56	235	124	0	233	1	1	0	0	100.00	0.56	75.00
ERR3684470	f__Spirochaetaceae (UID2512)	56	235	124	2	229	4	0	0	0	99.57	2.00	25.00
ERR3684471	f__Spirochaetaceae (UID2512)	56	235	124	0	233	2	0	0	0	100.00	1.08	100.00
ERR3684472	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684473	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684474	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684475	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684476	f__Spirochaetaceae (UID2512)	56	235	124	0	233	1	1	0	0	100.00	2.02	100.00
ERR3684477	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684478	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.19	0.81	0.00
ERR3684479	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684480	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684481	f__Spirochaetaceae (UID2512)	56	235	124	24	202	9	0	0	0	86.88	3.19	11.11
ERR3684482	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684483	f__Spirochaetaceae (UID2512)	56	235	124	0	234	0	1	0	0	100.00	1.61	100.00
ERR3684484	f__Spirochaetaceae (UID2512)	56	235	124	4	228	3	0	0	0	97.55	1.66	33.33
ERR3684485	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.60	0.40	100.00
ERR3684486	f__Spirochaetaceae (UID2512)	56	235	124	1	230	4	0	0	0	99.19	1.35	75.00
ERR3684487	f__Spirochaetaceae (UID2512)	56	235	124	4	227	3	1	0	0	97.98	3.39	50.00
ERR3684488	f__Spirochaetaceae (UID2512)	56	235	124	7	217	11	0	0	0	96.99	3.82	72.73
ERR3684489	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684490	f__Spirochaetaceae (UID2512)	56	235	124	0	232	3	0	0	0	100.00	1.34	33.33
ERR3684491	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.16	100.00
ERR3684492	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.12	100.00
ERR3684493	f__Spirochaetaceae (UID2512)	56	235	124	1	232	2	0	0	0	99.19	0.97	0.00
ERR3684494	f__Spirochaetaceae (UID2512)	56	235	124	3	229	3	0	0	0	97.98	1.21	33.33
ERR3684495	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684496	f__Spirochaetaceae (UID2512)	56	235	124	6	218	11	0	0	0	96.51	3.51	0.00
ERR3684497	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684498	f__Spirochaetaceae (UID2512)	56	235	124	0	234	0	0	1	0	100.00	1.21	83.33
ERR3684499	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684500	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684501	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684502	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684503	f__Spirochaetaceae (UID2512)	56	235	124	41	180	14	0	0	0	79.92	3.85	28.57
ERR3684504	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684505	f__Spirochaetaceae (UID2512)	56	235	124	12	211	12	0	0	0	92.74	3.98	33.33
ERR3684506	f__Spirochaetaceae (UID2512)	56	235	124	23	199	13	0	0	0	87.31	6.82	15.38
ERR3684507	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684508	f__Spirochaetaceae (UID2512)	56	235	124	29	196	10	0	0	0	89.67	3.48	20.00
ERR3684509	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684510	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684511	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684512	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684513	f__Spirochaetaceae (UID2512)	56	235	124	86	138	10	1	0	0	58.86	4.90	7.69
ERR3684514	f__Spirochaetaceae (UID2512)	56	235	124	130	103	2	0	0	0	42.16	0.83	0.00
ERR3684515	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684516	f__Spirochaetaceae (UID2512)	56	235	124	8	218	9	0	0	0	95.63	3.44	66.67
ERR3684517	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684518	f__Spirochaetaceae (UID2512)	56	235	124	76	147	12	0	0	0	62.36	3.09	0.00
ERR3684519	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684520	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.97	0.05	0.00
ERR3684521	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684522	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684523	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684524	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684525	f__Spirochaetaceae (UID2512)	56	235	124	0	234	0	1	0	0	100.00	0.27	100.00
ERR3684526	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684527	f__Spirochaetaceae (UID2512)	56	235	124	16	210	9	0	0	0	92.01	1.19	22.22
ERR3684528	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684529	f__Spirochaetaceae (UID2512)	56	235	124	20	206	9	0	0	0	89.77	3.86	44.44
ERR3684530	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
