Bin Id	Marker lineage	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR3684450	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684451	f__Spirochaetaceae (UID2512)	56	235	124	0	232	3	0	0	0	100.00	1.66	0.00
ERR3684452	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684453	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684454	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684455	f__Spirochaetaceae (UID2512)	56	235	124	2	225	6	2	0	0	98.79	3.17	66.67
ERR3684456	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684457	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00
ERR3684458	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684459	f__Spirochaetaceae (UID2512)	56	235	124	2	232	1	0	0	0	99.17	0.81	100.00
ERR3684460	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684461	f__Spirochaetaceae (UID2512)	56	235	124	4	226	5	0	0	0	97.58	1.53	40.00
ERR3684462	f__Spirochaetaceae (UID2512)	56	235	124	3	220	12	0	0	0	98.36	5.12	50.00
ERR3684463	f__Spirochaetaceae (UID2512)	56	235	124	8	217	10	0	0	0	95.62	4.71	30.00
ERR3684464	f__Spirochaetaceae (UID2512)	56	235	124	6	221	8	0	0	0	96.88	3.80	37.50
ERR3684465	f__Spirochaetaceae (UID2512)	56	235	124	3	225	7	0	0	0	98.90	3.84	57.14
ERR3684466	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684467	f__Spirochaetaceae (UID2512)	56	235	124	1	232	2	0	0	0	99.60	0.85	0.00
ERR3684468	f__Spirochaetaceae (UID2512)	56	235	124	15	210	10	0	0	0	91.75	2.68	20.00
ERR3684469	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684470	f__Spirochaetaceae (UID2512)	56	235	124	1	223	11	0	0	0	99.19	4.02	18.18
ERR3684471	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684472	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.27	0.00
ERR3684473	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.05	0.00
ERR3684474	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684475	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.19	0.81	0.00
ERR3684476	f__Spirochaetaceae (UID2512)	56	235	124	0	234	0	1	0	0	100.00	1.61	100.00
ERR3684477	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684478	f__Spirochaetaceae (UID2512)	56	235	124	1	233	0	1	0	0	99.19	0.54	100.00
ERR3684479	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	100.00
ERR3684480	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684481	f__Spirochaetaceae (UID2512)	56	235	124	22	199	10	2	2	0	87.94	4.87	10.71
ERR3684482	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684483	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684484	f__Spirochaetaceae (UID2512)	56	235	124	6	227	2	0	0	0	96.61	0.85	0.00
ERR3684485	f__Spirochaetaceae (UID2512)	56	235	124	2	215	16	1	1	0	99.17	7.60	12.00
ERR3684486	f__Spirochaetaceae (UID2512)	56	235	124	2	230	3	0	0	0	98.39	1.19	66.67
ERR3684487	f__Spirochaetaceae (UID2512)	56	235	124	3	228	3	1	0	0	98.79	3.39	50.00
ERR3684488	f__Spirochaetaceae (UID2512)	56	235	124	8	216	11	0	0	0	96.18	3.80	72.73
ERR3684489	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684490	f__Spirochaetaceae (UID2512)	56	235	124	0	233	2	0	0	0	100.00	1.08	50.00
ERR3684491	f__Spirochaetaceae (UID2512)	56	235	124	0	233	2	0	0	0	100.00	0.83	50.00
ERR3684492	f__Spirochaetaceae (UID2512)	56	235	124	2	232	1	0	0	0	99.17	0.12	100.00
ERR3684493	f__Spirochaetaceae (UID2512)	56	235	124	3	230	2	0	0	0	97.58	0.97	0.00
ERR3684494	f__Spirochaetaceae (UID2512)	56	235	124	3	226	6	0	0	0	97.98	2.25	50.00
ERR3684495	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684496	f__Spirochaetaceae (UID2512)	56	235	124	8	217	10	0	0	0	95.65	3.24	0.00
